CÓDIGO RENIPRESS,lat,lon
00009964,-5.2285467,-78.90490194
00004279,-5.27066766,-78.77467645
00004283,-5.39811273,-78.70245454
00004294,-5.41295,-79.01115
00009966,-5.40807451,-79.00459261
00007411,-5.34107031,-78.96675195
00010966,-5.38401953,-78.95328906
00027371,-4.99658667,-79.15339
00004308,-4.92764,-78.90137
00004305,-4.95729775,-78.98959885
00007034,-5.46006488,-79.11325867
00004315,-5.37661536,-79.09170669
00028974,-7.332226,-78.1706939
00029053,-7.34579263,-78.1792434
00004506,-7.25769734,-78.20390181
00004497,-7.1494699,-78.06018346
00004495,-7.30187383,-78.02057603
00008996,-7.01144922,-78.88942969
00004541,-7.16206167,-78.88759
00004574,-7.09990667,-78.89912
00004540,-7.10131833,-79.010525
00004573,-7.10447,-78.98587
00004556,-6.87032866,-79.12444358
00004559,-7.00603844,-79.10348643
00004539,-7.1615787,-78.73016507
00004585,-7.1566476,-78.8690618
00004814,-6.66008,-78.901
00033099,-6.82974271,-78.9118675
00004822,-6.72474,-79.00596
00004821,-6.6499611,-78.78947174
00006927,-6.528349,-78.8592
00004831,-6.72254,-78.8822
00011561,-6.72211249,-78.83915257
00036014,-12.0377945,-77.1002424
00034518,-12.0135945,-77.0935628
00034305,-12.0522524,-77.13374577
00034248,-12.0275329,-77.0946203
00031953,-12.05346977,-77.11234641
00031162,-12.0230518,-77.1382942
00028647,-11.9406207,-77.1340507
00019797,-12.0487833,-77.1076871
00028333,-12.01380202,-77.10216712
00017709,-12.015138,-77.0961349
00021094,-12.04712946,-77.1118871
00010257,-12.0345625,-77.1378125
00023280,-12.0482286,-77.0956435
00018416,-12.02871966,-77.10488117
00018306,-12.061051,-77.1435799
00025655,-12.0162519,-77.0961549
00010660,-12.03551396,-77.13957823
00020981,-12.0528064,-77.1068208
00030161,-11.9559357,-77.1273556
00006239,-12.00969499,-77.09673001
00006233,-12.0265051,-77.12919833
00017740,-12.00179246,-77.10766776
00010258,-12.03501833,-77.13737167
00036837,-12.0623019,-77.1231381
00033485,-12.0610666,-77.0975093
00030817,-12.06238257,-77.09811396
00028568,-12.05647291,-77.09865308
00026142,-12.0558571,-77.1089066
00021929,-12.0625,-77.129212
00023073,-12.05710769,-77.09779746
00017883,-12.06268977,-77.13320624
00032567,-12.0428233,-77.0972207
00006253,-12.04196315,-77.08542386
00028644,-12.0435465,-77.0979386
00015549,-12.04334687,-77.09812737
00020090,-12.04328261,-77.09822527
00029132,-12.04012691,-77.09662399
00015683,-12.04158278,-77.09849081
00016564,-12.0414617,-77.0984686
00019431,-12.0702564,-77.1094867
00021050,-12.06914979,-77.12116755
00019215,-12.0667652,-77.1256628
00016449,-12.06838652,-77.11501456
00007785,-12.0671961,-77.1157065
00006251,-12.06920504,-77.12476464
00027500,-12.0704035,-77.159812
00036432,-11.8733014,-77.1253584
00036202,-11.8379427,-77.1255414
00036224,-11.8720185,-77.1440076
00033484,-11.88612878,-77.12638951
